Rank,App Name,App Package Name,Subgenre,Downloads,Cumulative Downloads,Paid Downloads,Organic Downloads,Active Users,Install Base,Avg Session per User,Avg Session Duration,Avg time per User,Avg Active Days,gender,Tier
79,Zapay: IPVA e Licenciamento,br.com.usezapay.app,BNPL,152185,475060,11890,140295,28141,105678,9.82,00:01:06,00:10:54,1.88,homens,dois
80,FARM,br.com.farmrio.app,E-Commerce (Retailer),151999,321874,52795,99204,55689,80506,11.5,00:01:14,00:14:13,3.32,mulheres,tres
81,KaBuM! Compre Online,br.com.kabum.webviewapp,E-Commerce (Retailer),151208,2620309,88805,62403,634226,2949661,14.17,00:01:01,00:14:29,4.13,homens,Quatro
82,Farmácias APP: Drogaria online,com.pharmacysa.farmaciasapp,Pharmacy & Drugstore,145085,839619,65912,79173,68732,166053,4.27,00:02:36,00:11:06,1.58,mulheres,tres
83,Catálogos Hiroshima - HiroApp,com.hiro.hiroapp.hiroshimasd,Other Shopping,142499,863922,73707,68792,18712,118662,11.53,00:01:45,00:20:13,2.26,mulheres,dois
85,SCHUTZ,br.com.arezzo.schutz,E-Commerce (Retailer),139112,1535295,57184,81928,47316,206962,5.49,00:01:12,00:06:39,2.1,mulheres,tres
86,Tenda Atacado,com.root.tendadrive.Activities,Other Shopping,136668,1087514,37923,98745,22349,277868,6.41,00:02:19,00:14:54,2.25,mulheres,dois
87,Lojas Torra - Compre online,br.com.app.torra,E-Commerce (Retailer),136628,1390966,47428,89200,72489,416033,5.92,00:01:32,00:09:05,2.74,mulheres,tres
88,Drogaria São Paulo,br.com.app.meuvivasaude.descontos,Pharmacy & Drugstore,133040,1939502,0,133040,325169,1342250,7.8,00:01:15,00:09:48,2.37,mulheres,Quatro
89,Clube Extra,br.com.clubeextra,Coupons & Rewards,128731,9535171,66366,62365,376388,4452972,8.39,00:01:27,00:12:17,2.81,homens,Quatro
90,Panvel Farmácia e Perfumaria,br.com.dimed.panvel,Pharmacy & Drugstore,128126,1494422,67584,60542,134285,731183,12.7,00:01:11,00:15:08,3.01,homens,tres
91,Farmácias São João - Delivery,br.com.saojoaofarmacias.app,Pharmacy & Drugstore,125296,588069,73396,51900,52226,200833,6.98,00:00:57,00:06:43,2.12,homens,tres
92,Banggood - Online Shopping,com.banggood.client,E-Commerce (B2C),125030,8182236,65106,59924,248551,3416526,7.88,00:01:55,00:15:12,3.12,homens,Quatro
93,hibobi-Kids Fashion Online,com.hibobi.store,E-Commerce (Retailer),119133,407996,35774,83359,54574,61385,13.48,00:03:02,00:41:01,2.97,mulheres,tres
95,Kopenhagen: Chocolates e Cafés,br.com.kopenhagen,E-Commerce (Retailer),101098,287099,21035,80063,73451,143260,6.32,00:01:22,00:08:40,2.6,mulheres,tres
