data-ai Intelligence
Report,Top Advertisers
Report Generation Time,01/06/2023 07:49:09 PST
Ad Platform,All Supported
Country/Region,Brazil
Device,Android Phone
Date,"2021-08-01, 2021-08-31"
Granularity,Monthly

Advertiser App,Advertiser App Name,Advertiser App Bundle ID,Advertiser App Initial Release Date,Advertiser App Last Version Update,Advertiser App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,# Ad Platforms,# Apps Seen In,Creatives
20600004830869,Promobit: Promoções e Cupons,,2015-09-30,2022-12-06,br.com.promobit.app,google-play,Google Play Store,android-all,All Android Devices,20200001505702,Promobit,,,,,,,400053,Shopping,20600004830869,Promobit: Promoções e Cupons,app,App,4,2,130
20600005749736,Newchic - Fashion Online,,2016-06-01,2022-11-23,com.newchic.client,google-play,Google Play Store,android-all,All Android Devices,20200001856898,Newchic,1000200000237487,Newchic,CN,China,1000200000184483,Banggood,400053,Shopping,1000600000622756,Newchic,app,App,4,2,42
20600006206349,DHgate-online wholesale stores,,2016-09-14,2022-12-22,com.dhgate.buyermob,google-play,Google Play Store,android-all,All Android Devices,20200000068127,dhgate.com,1000200000243652,DHgate.com,CN,China,1000200000243652,DHgate.com,400053,Shopping,1000600000626797,DHgate,app,App,4,2,92
20600006400836,"Loja C&A: Roupas, Sapatos e +",,2016-10-25,2022-12-16,br.com.cea.appb2c,google-play,Google Play Store,android-all,All Android Devices,20200002010464,C&A Brasil,1000200000332563,C&A,BR,Brazil,1000200000332563,C&A,400053,Shopping,1000600000695152,C&A Brasil,app,App,4,106,6564
20600006838544,Farmácias APP: Drogaria online,,2017-01-26,2022-12-19,com.pharmacysa.farmaciasapp,google-play,Google Play Store,android-all,All Android Devices,20200002108899,Pharmacy SA,1000200000498176,Pharmacy SA,BR,Brazil,1000200000498176,Pharmacy SA,400046,Medical,1000600000833621,Farmácias APP,app,App,4,2,34
20600009657658,KaBuM! Compre Online,,2018-04-20,2022-11-29,br.com.kabum.webviewapp,google-play,Google Play Store,android-all,All Android Devices,20200002654959,KaBuM!,1000200000364350,KaBuM,BR,Brazil,1000200000387041,Magazine Luiza,400053,Shopping,1000600000801773,"KaBuM! Ofertas Hardware, Gamer",app,App,4,2,11
20600011709980,Zee.Now - Pet Shop Delivery,,2019-04-16,2023-01-05,br.com.zeenow.zeenow,google-play,Google Play Store,android-all,All Android Devices,20200003107905,Zee.Dog/Zee.Now,1000200000365254,Zee Dog,BR,Brazil,1000200000365254,Zee Dog,400053,Shopping,1000600000725033,Zee.Now,app,App,4,2,62
20600011982315,hibobi-Kids Fashion Online,,2019-06-10,2022-12-13,com.hibobi.store,google-play,Google Play Store,android-all,All Android Devices,20200003210673,HIBOBI TECHNOLOGY LIMITED,1000200000484529,HIBOBI TECHNOLOGY LIMITED,CN,China,1000200000484529,HIBOBI TECHNOLOGY LIMITED,400053,Shopping,1000600000809993,hibobi-enrich baby's childhood,app,App,4,2,58
20600012686652,Riachuelo – Compre pelo app,,2019-11-25,2022-12-19,br.com.riachuelo.app,google-play,Google Play Store,android-all,All Android Devices,20200002334153,Lojas Riachuelo,1000200000210877,Lojas Riachuelo,BR,Brazil,1000200000210877,Lojas Riachuelo,400053,Shopping,1000600000785022,Riachuelo,app,App,4,115,3969
20600012945645,Megamania Cap,,2020-01-22,2022-12-23,com.ideamaker.megamania,google-play,Google Play Store,android-all,All Android Devices,20200003221858,Idea Maker,1000300000024551,Idea Maker,BR,Brazil,1000300000024551,Idea Maker,400036,Entertainment,20600012945645,Megamania Cap,app,App,4,2,28
20600013154812,Privalia: Maior Outlet Online,,2020-03-16,2022-12-27,com.privalia.br,google-play,Google Play Store,android-all,All Android Devices,20200003488373,Privalia Brasil,1000200000047217,Privalia,ES,Spain,1000200000042925,Vente-Privee,400053,Shopping,1000600000788644,Privalia BR,app,App,4,2,184
20600013166206,"Buscar Rural - Comprar, vender",,2020-03-18,2022-10-19,br.com.buscar.rural,google-play,Google Play Store,android-all,All Android Devices,20200003491466,Buscar Rural,,,,,,,400053,Shopping,20600013166206,"Buscar Rural - Comprar, vender",app,App,4,2,13
20600013986843,ZZ MALL,,2020-09-14,2022-12-12,br.com.arezzoco.marketplacezz,google-play,Google Play Store,android-all,All Android Devices,20200003084514,Arezzo,1000200000364805,Arezzo,BR,Brazil,1000200000364805,Arezzo,400053,Shopping,1000600000800462,ZZ MALL,app,App,4,2,9
20600000897846,Vinted - Buy and sell clothes,,2013-04-12,2023-01-04,fr.vinted,google-play,Google Play Store,android-all,All Android Devices,20200000394460,Vinted,1000200000042836,Vinted,LT,Lithuania,1000200000042836,Vinted,400053,Shopping,1000600000445246,Vinted,app,App,3,79,31
20600001426277,"Dafiti: roupas, sapatos, decor",,2013-08-06,2022-12-22,br.com.dafiti,google-play,Google Play Store,android-all,All Android Devices,20200002090655,GFG Comércio Digital,1000200000039028,DAFITI,BR,Brazil,1000200000039028,DAFITI,400053,Shopping,1000600000438605,DAFITI,app,App,3,29,4791
