App Package Name,Reviews,Reviews Content,Rating,Start Date,End Date,Review Product Version,Review Product Version Name,Language,Language Name
com.shopee.br,0476e22f-c055-4931-8eb2-aa5b420990e3,"Estou tendo uma ótima experiência, com esse aplicativo minhas mercadorias chegam bem rápido e tudo bem certinho e bem embalado.",5,15.07.22,15.07.22,20600012546168_2.90.20,2.90.20,pt,Portuguese
com.shopee.br,047b897e-0db9-430d-a933-98fc198af92a,Amo muito e amo mais os cupons de frete grátis. Rs,5,14.07.22,14.07.22,20600012546168_2.80.30,2.80.30,pt,Portuguese
com.shopee.br,047c8ad4-b73f-4ecf-bdd2-a4c5352ffc50,Costuma demorar mais que mercado livre e Amazon..costuma vir sem nota fiscal,4,12.07.22,12.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,047e1384-4d8e-4480-a00e-cd3cefb331dd,"Boa noite nao gostei da shopee,minha primeira compra foi no boleto e disse que depois de 3 dias iria consta meu boleto pago,mas a shopee cancelou meu pedido e agora. Vou perde meu dinheiro .nao estou conseguindo falarcom ninguém",1,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,048099fb-0423-4b01-9805-4da0fff85a35,Estou viciada na shopee. Principalmente quando o frete é grátis e tem cupom de desconto,5,14.07.22,14.07.22,20600012546168_2.90.13,2.90.13,pt,Portuguese
com.shopee.br,0483ba8b-d375-4843-a13e-d6cbefd72fb0,Ótima,5,12.07.22,12.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,0489a5c7-0bce-462f-acdc-dfc9357e131f,Tri bom,5,16.07.22,16.07.22,20600012546168_2.90.13,2.90.13,pt,Portuguese
com.shopee.br,0499bdc8-800e-4919-b342-5787088a6a56,melhor app de compras,5,13.07.22,13.07.22,20600012546168_2.87.30,2.87.30,pt,Portuguese
com.shopee.br,049ac3ab-1973-45c6-8b32-d2d657411b4d,o app é bom mais o problema é que trava muito tem que ter muita paciência para fazer uma compra ou procurar um produto.,3,15.07.22,15.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,04a28e4c-3b61-4d7e-9df7-d8f4a76520ab,Amei compra na shope minhas coisas veio certinha tudo embaladinha ótimo site de confiança,5,12.07.22,12.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,04b0d98f-96a7-4824-9ca6-cbee9075664d,Muito bom e seguro ... amoooooo,5,11.07.22,11.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,04b832ca-0321-487d-9208-794535aeb9e0,"Depois da última atualização (2.90.20) todos meus favoritos e seguidores sumiram 😠😠😠. Tinha vários produtos em favoritos que ainda iria comprar e com essa atualização, lascou tudo AFF 😡🤬 Ajuda aí Shopee.",1,15.07.22,15.07.22,20600012546168_2.90.20,2.90.20,pt,Portuguese
com.shopee.br,04c04629-8a1d-4e74-8e92-00e32c18620b,Vivio diário...,5,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,04c1a3bb-89a4-4e4c-a90b-b9d8c07df3c3,Muito bom várias opções de compra Top,5,15.07.22,15.07.22,20600012546168_2.90.20,2.90.20,pt,Portuguese
