,App Package Name,Reviews Content,Rating,Ranking,review_processed
17137,com.shopee.br,"App é bom, mas falta opção de escolher o que quer ver de sugestão ou não, como um ""isso não me interessa"". Uma pessoa usou meu celular pra pesquisar sobre tamanco e agora não para de aparecer sobre tamancos pra mim e eu não tenho interesse nisso😕🤐",5,Second,"app bom, falta opção escolh quer ver sugestão não, ""isso interessa"". uma pessoa usou celular pra pesquisar sobr tamanco agora aparec sobr tamanco pra mim interess nisso😕🤐"
17138,com.shopee.br,Não estou conseguindo abri meu app da shopp,3,Second,não conseguindo abri app shopp
17139,com.shopee.br,"O app é ótimo o problema é os tipos de transportadoras, que não entregam nossos produtos e dizem que entregou! Assim acaba chateando a gente em voltar a comprar. Ultimamente tem me acontecido constantemente isso.",5,Second,"o app ótimo problema tipo transportadoras, entregam produto dizem entregou! assim acaba chateando gent voltar comprar. ultimament acontecido constantement isso."
17140,com.shopee.br,Ótima,5,Second,ótima
17141,com.shopee.br,Gosto....e um app muito bom tem como ganhar moedas para usar como desconto e fora os cupons de frete grátis e de descontos são muito bom 💜🖤❤💖,4,Second,gosto.... app bom ganhar moeda usar desconto cupon frete gráti desconto bom 💜🖤❤💖
17142,com.shopee.br,Amooooo,5,Second,amooooo
17143,com.shopee.br,Excelente aplicativo... Amo comprar nessa loja,5,Second,excelent aplicativo... amo comprar nessa loja
17144,com.shopee.br,"Sempre compro no Shopee, a compra é segura, tenho o respado da entrega, já fui ressarcida por compras não entregues no prazo sem nenhum problema.",5,Second,"sempr compro shopee, compra segura, respado entrega, ressarcida compra entregu prazo nenhum problema."
17145,com.shopee.br,App bom,5,Second,app bom
17146,com.shopee.br,"Ótima aplicativo! Tudo que comprei, chegou certinho. Procuro antes de comprar, pesquisa sobre a loja que vou fazer a compra, obeserva os comentários, entre outros.",5,Second,"ótima aplicativo! tudo comprei, chegou certinho. procuro ant comprar, pesquisa sobr loja vou fazer compra, obeserva comentários, outros."
17147,com.shopee.br,Adorooo,5,Second,adorooo
17148,com.shopee.br,"Depois que começou a entregar por eles mesmos, ficou péssimo.",3,Second,"depoi começ entregar mesmos, ficou péssimo."
17149,com.shopee.br,AMO a Shoppe...,5,Second,amo shoppe...
17150,com.shopee.br,O App e maravilhoso com muitas promoções,5,Second,o app maravilhoso muita promoçõ
17151,com.shopee.br,"É muito bom o aplicativo só compro por ele, é muito mas barato, só demora um pouco a entrega mas os produtos são muitos bom e super recomendo pra fazerem as compras",5,Second,"é bom aplicativo compro ele, barato, demora pouco entrega produto muito bom super recomendo pra fazerem compra"
17152,com.shopee.br,"Rápido, fácil e seguro",5,Second,"rápido, fácil seguro"
