Date,Aplicativo_Rank,Advertiser App Name,Advertiser App Package Name,Ad Platforms,Apps Seen In,Creatives,Paid Downloads,investimento_cpi,est_numero_anuncios
Jul 22,56,"Zoom: Compare preços, Cashback",com.zoom.zoomandroid,6,42,10301,150114,336255.36,432642
Aug 22,56,"Zoom: Compare preços, Cashback",com.zoom.zoomandroid,5,77,2592,150114,336255.36,199584
Sep 22,56,"Zoom: Compare preços, Cashback",com.zoom.zoomandroid,5,105,9805,150114,336255.36,1029525
Jul 22,45,Leroy Merlin Brasil,br.com.leroymerlin,1,1,1,145994,327026.56,1
Aug 22,45,Leroy Merlin Brasil,br.com.leroymerlin,1,2,2,145994,327026.56,4
Sep 22,45,Leroy Merlin Brasil,br.com.leroymerlin,1,21,25,145994,327026.56,525
Jul 22,60,Dotz: conta digital,br.com.dotz.dotzpay,5,4,87,144685,324094.4,348
Aug 22,60,Dotz: conta digital,br.com.dotz.dotzpay,5,4,54,144685,324094.4,216
Sep 22,60,Dotz: conta digital,br.com.dotz.dotzpay,4,2,69,144685,324094.4,138
Jul 22,38,Méliuz: Cashback e Cartão,br.com.meliuz,5,6,37,139883,313337.92,222
Aug 22,38,Méliuz: Cashback e Cartão,br.com.meliuz,5,5,161,139883,313337.92,805
Sep 22,38,Méliuz: Cashback e Cartão,br.com.meliuz,7,19,277,139883,313337.92,5263
Jul 22,63,Elo7: Produtos Personalizados,br.com.elo7.appbuyer,4,2,67,136861,306568.64,134
Aug 22,63,Elo7: Produtos Personalizados,br.com.elo7.appbuyer,4,2,66,136861,306568.64,132
Sep 22,63,Elo7: Produtos Personalizados,br.com.elo7.appbuyer,1,1,41,136861,306568.64,41
Jul 22,39,Tok&Stok: Móveis e Decoração,com.tokstok.app,5,4,28,135706,303981.44,112
Aug 22,39,Tok&Stok: Móveis e Decoração,com.tokstok.app,3,4,34,135706,303981.44,136
Sep 22,39,Tok&Stok: Móveis e Decoração,com.tokstok.app,3,7,105,135706,303981.44,735
Jul 22,59,Posthaus: 15% Extra só no App,br.com.supero.posthaus.site,5,4,661,133928,299998.72,2644
Aug 22,59,Posthaus: 15% Extra só no App,br.com.supero.posthaus.site,4,2,572,133928,299998.72,1144
Sep 22,59,Posthaus: 15% Extra só no App,br.com.supero.posthaus.site,1,1,357,133928,299998.72,357
Jul 22,62,"Buscapé: Menor preço, Cashback",br.com.buscape.MainPack,6,48,5755,126698,283803.52,276240
Aug 22,62,"Buscapé: Menor preço, Cashback",br.com.buscape.MainPack,6,59,3935,126698,283803.52,232165
Sep 22,62,"Buscapé: Menor preço, Cashback",br.com.buscape.MainPack,6,41,3864,126698,283803.52,158424
Jul 22,64,Petlove - O app do seu pet,br.com.petlove.petlove,5,5,3547,125865,281937.6,17735
Aug 22,64,Petlove - O app do seu pet,br.com.petlove.petlove,6,18,4535,125865,281937.6,81630
Sep 22,64,Petlove - O app do seu pet,br.com.petlove.petlove,5,12,5068,125865,281937.6,60816
