data-ai Intelligence
Report,IQ Classifications- Top Apps
Report Generation Time,01/06/2023 07:43:48 PST
Country/Region,Brazil
Date,"2022-07-01, 2022-09-30"
Device,Android Phone
Classification,"BNPL, Coupons & Rewards, E-Commerce (B2C), E-Commerce (C2C), E-Commerce (Retailer), Other Shopping, Pharmacy & Drugstore, Resell"
Granularity,Monthly
Vertical,App
Include secondary IQ classifications,False

Rank,App,App Name,App Bundle ID,App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,Genre > Classification,Genre > Classification Name,Subgenre > Classification,Subgenre > Classification Name,Classification Type,Classification Type Name,Content > Tag,Content > Tag Name,FTUE > Tag,FTUE > Tag Name,Feature - Finance > Tag,Feature - Finance > Tag Name,Feature - Food & Drink > Tag,Feature - Food & Drink > Tag Name,Feature - General > Tag,Feature - General > Tag Name,Feature - Health & Fitness > Tag,Feature - Health & Fitness > Tag Name,Feature - Login > Tag,Feature - Login > Tag Name,Feature - Reporting > Tag,Feature - Reporting > Tag Name,Feature - Shopping > Tag,Feature - Shopping > Tag Name,Feature - Social > Tag,Feature - Social > Tag Name,Feature - Social Media > Tag,Feature - Social Media > Tag Name,Feature - Support > Tag,Feature - Support > Tag Name,Monetization - Advertising > Tag,Monetization - Advertising > Tag Name,Monetization - Membership > Tag,Monetization - Membership > Tag Name,Monetization - Value-added Service > Tag,Monetization - Value-added Service > Tag Name,Tag Type,Tag Type Name,Downloads,Downloads (Change Value),Cumulative Downloads,Cumulative Downloads (Change Value),Revenue,Revenue (Change Value),Cumulative Revenue,Cumulative Revenue (Change Value),RPD,RPD (Change Value),Paid Downloads,Paid Downloads (Change Value),Organic Downloads,Organic Downloads (Change Value),% Paid Downloads,% Paid Downloads (Change Value),% Organic Downloads,% Organic Downloads (Change Value),Usage Penetration,Usage Penetration (Change Value),Active Users,Active Users (Change Value),Install Penetration,Install Penetration (Change Value),Install Base,Install Base (Change Value),Open Rate,Open Rate (Change Value),Avg Sessions / User,Avg Sessions / User (Change Value),Avg Session Duration,Avg Session Duration (Change Value),Avg Time / User,Avg Time / User (Change Value),Total Time,Total Time (Change Value),Avg Active Days,Avg Active Days (Change Value),% Active Days,% Active Days (Change Value),Share of Category Time,Share of Category Time (Change Value)
268,20600007365168,Tiendamia. Del mundo a tu puer,,com.tiendamia.android,google-play,Google Play Store,android-all,All Android Devices,20200003336984,Tiendamia,1000200000416843,Tiendamia,US,United States,1000200000416843,Tiendamia,400053,Shopping,1000600000799651,Tiendamia,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084,-1341,675063,6084,,,,,,,3932,1757,2152,-3098,64.63%,35.34%,35.37%,-35.34%,0.01%,0.00%,8250,-2388,0.33%,0.00%,366888,346,2.25%,-0.65%,5.94,-1.28,00:03:05,00:01:35,00:18:19,00:07:34,453520,110606,2.48,0.01,8.07%,-0.08%,,
269,20600013493598,Buy cell phones for cheap,,com.boulla.cellphone,google-play,Google Play Store,android-all,All Android Devices,20200001522702,IDAFN Team,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130002,E-Commerce (C2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5990,2427,55939,5990,,,,,,,3458,1710,2532,717,57.73%,8.67%,42.27%,-8.67%,0.02%,0.00%,26035,5778,0.02%,0.00%,26325,5261,98.90%,2.73%,4.77,-0.01,00:01:07,-00:00:54,00:05:21,-00:04:22,418575,-172877,1.91,0.00,6.23%,-0.08%,,
270,20600000409621,Hepsiburada: Online Shopping,,com.pozitron.hepsiburada,google-play,Google Play Store,android-all,All Android Devices,20200001559776,Hepsiburada.com,1000200000063579,Hepsiburada,TR,Turkey,1000200000063579,Hepsiburada,400053,Shopping,1000600000451039,Hepsiburada,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,"1080020, 1080025, 1080021, 1080026, 1080022","Login, Settings, Browse Content, Check Out, Search Content",,,,,"6003031, 6003017, 6003008, 6003056, 6003014, 6003041, 6003023, 6003022, 6003024","Image Search, Any Recommendation, Favorite, Review, Messaging/Inbox, In-App Coupons, Popular Recommendation, Personal Recommendation, Relative Recommendation",,,"6005002, 6005006","External Login, Internal Login",,,"6014002, 6014001, 6014007, 6014019, 6014004, 6014012, 6014010, 6014027","Custom Lists, Scan Barcode, Exclusive App Deals, Frequently Bought Together, Daily/Hourly Deals, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.), Curated Shopping Content, Primary Content Type - Multi Category","6007002, 6007007","External Share, Share","6017064, 6017063","Web Version, Multi-Platform Support","6008003, 6008006, 6008001","Email/Help Desk, Phone Support, Any Customer Service","6010005, 6010001, 6010006","Sponsored Content, Any Advertising, Interstitial/Banner",,,6012001,Build-in Games,"5003001, 5007001, 5014001, 5014001, 5005001, 5014001, 5018001, 5014001, 5003001, 5008001, 5003001, 5003001, 5003001, 400013, 5008001, 400013, 5018001, 5012001, 5005001, 5010001, 5014001, 400013, 5003001, 5003001, 400013, 5014001, 5014001, 5003001, 5010001, 5008001, 400013, 5007001, 5010001, 5014001, 5003001","Feature - General, Feature - Social, Feature - Shopping, Feature - Shopping, Feature - Login, Feature - Shopping, Feature - Social Media, Feature - Shopping, Feature - General, Feature - Support, Feature - General, Feature - General, Feature - General, FTUE, Feature - Support, FTUE, Feature - Social Media, Monetization - Value-added Service, Feature - Login, Monetization - Advertising, Feature - Shopping, FTUE, Feature - General, Feature - General, FTUE, Feature - Shopping, Feature - Shopping, Feature - General, Monetization - Advertising, Feature - Support, FTUE, Feature - Social, Monetization - Advertising, Feature - Shopping, Feature - General",5462,-1526,18535,5462,,,,,,,3265,843,2197,-2369,59.78%,25.12%,40.22%,-25.12%,,,,,,,,,,,,,,,,,,,,,,,,
271,20600006257774,ZAFUL - My Fashion Story,,com.zaful,google-play,Google Play Store,android-all,All Android Devices,20200001980448,Zaful,1000200000176448,Zaful,CN,China,1000200000467961,Global Top E-Commerce,400053,Shopping,1000600000574931,Zaful,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5441,2777,1327445,5441,,,,,,,3080,1573,2361,1204,56.61%,0.04%,43.39%,-0.04%,,,,,,,,,,,,,,,,,,,,,,,,
272,20600014325063,Buyviu,,com.nextchance.buyviu,google-play,Google Play Store,android-all,All Android Devices,20200003834296,Buyviu,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5312,3744,10496,5312,,,,,,,2231,1673,3081,2071,42.00%,6.41%,58.00%,-6.41%,,,,,,,,,,,,,,,,,,,,,,,,
273,20600005753196,Smart Closet - Fashion Style,,com.rkk.closet,google-play,Google Play Store,android-all,All Android Devices,20200002755895,Rabbit Tech Inc,1000200000501039,Rabbit Tech,US,United States,1000200000501039,Rabbit Tech,400053,Shopping,1000600000838549,Smart Closet - Fashion Style,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5192,704,66096,5192,,,,,,,3012,-249,2180,953,58.01%,-14.65%,41.99%,14.65%,0.00%,0.00%,4122,827,0.01%,0.00%,16086,-42,25.62%,5.19%,4.35,1.16,00:00:13,-00:00:34,00:00:57,-00:01:34,11909,-13109,1.04,0.00,3.40%,-0.04%,,
274,20600016704698,Easy Bucks: Earn Money Quickly,,net.bitburst.easybucks,google-play,Google Play Store,android-all,All Android Devices,20200001433679,BitBurst GmbH,1000200000471489,BitBurst,DE,Germany,1000200000052097,Prodege,400043,Lifestyle,,,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5093,3974,6212,5093,,,,,,,3461,2857,1632,1117,67.96%,13.98%,32.04%,-13.98%,,,,,,,,,,,,,,,,,,,,,,,,
275,20600015164633,Armocromia,,it.italianimageinstitute.dressapp,google-play,Google Play Store,android-all,All Android Devices,20200004071903,Italian Image Institute,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5073,4617,5529,5073,,,,,,,2871,2610,2202,2007,56.59%,-0.65%,43.41%,0.65%,,,,,,,,,,,,,,,,,,,,,,,,
276,20600016370136,OLX Lebanon,,com.empg.olxlb,google-play,Google Play Store,android-all,All Android Devices,20200003974462,EMPG,1000200000017990,OLX,US,United States,1000200000044574,Naspers,400053,Shopping,1000600000835821,OLX Lebanon,app,App,3013,Shopping,30130004,Resell,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4659,-325,9643,4659,,,,,,,2716,143,1943,-468,58.30%,6.67%,41.70%,-6.67%,,,,,,,,,,,,,,,,,,,,,,,,
277,20600006841900,Instant Gaming,,com.instantgaming.android,google-play,Google Play Store,android-all,All Android Devices,20200002110455,Instant-Gaming.com,,,,,,,400053,Shopping,1000600000680336,Instant Gaming,app,App,3013,Shopping,30130008,Other Shopping,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4430,353,13859,4430,,,,,,,2469,489,1961,-136,55.73%,7.16%,44.27%,-7.16%,,,,,,,,,,,,,,,,,,,,,,,,
278,20600005750487,Joom. Shopping for every day,,com.joom,google-play,Google Play Store,android-all,All Android Devices,20200001857277,Joom,1000200000499608,Joom,LV,Latvia,1000200000499608,Joom,400053,Shopping,1000600000538700,Joom,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,"1080021, 1080025, 1080020, 1080009, 1080022, 1080026","Browse Content, Settings, Login, Notification Settings, Search Content, Check Out",,,,,"6003071, 6003008, 6003017, 6003023, 6003056, 6003014, 6003024, 6003010, 6003079","Alerts Setting, Favorite, Any Recommendation, Popular Recommendation, Review, Messaging/Inbox, Relative Recommendation, Like/Dislike, Language Options",6016049,Unit Conversions,"6005006, 6005002","Internal Login, External Login",,,"6014027, 6014004, 6014020, 6014010, 6014012, 6014013","Primary Content Type - Multi Category, Daily/Hourly Deals, Buy Now Pay Later, Curated Shopping Content, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.), Member Rewards","6007001, 6007007, 6007002","Comments, Share, External Share","6017063, 6017064","Multi-Platform Support, Web Version","6008002, 6008005, 6008001","AI Chat bot, FAQs/Knowledge Base, Any Customer Service","6010005, 6010001","Sponsored Content, Any Advertising",,,,,"5003001, 5014001, 5008001, 5003001, 5003001, 5007001, 5003001, 5018001, 5014001, 5010001, 400013, 5008001, 400013, 5005001, 400013, 5003001, 5003001, 400013, 5003001, 400013, 5003001, 5007001, 5005001, 5018001, 5007001, 5014001, 5014001, 5008001, 5010001, 5003001, 5014001, 5017001, 5014001, 400013","Feature - General, Feature - Shopping, Feature - Support, Feature - General, Feature - General, Feature - Social, Feature - General, Feature - Social Media, Feature - Shopping, Monetization - Advertising, FTUE, Feature - Support, FTUE, Feature - Login, FTUE, Feature - General, Feature - General, FTUE, Feature - General, FTUE, Feature - General, Feature - Social, Feature - Login, Feature - Social Media, Feature - Social, Feature - Shopping, Feature - Shopping, Feature - Support, Monetization - Advertising, Feature - General, Feature - Shopping, Feature - Health & Fitness, Feature - Shopping, FTUE",4370,-687,1182816,4370,,,,,,,541,173,3829,-860,12.38%,5.10%,87.62%,-5.10%,0.01%,0.00%,6803,-2690,0.10%,0.00%,112252,2551,6.06%,-2.59%,7.80,-0.78,00:01:01,-00:01:15,00:08:01,-00:11:37,163815,-396052,2.47,0.01,8.05%,-0.07%,,
279,20600001387012,Lidl - Offers & Leaflets,,de.sec.mobile,google-play,Google Play Store,android-all,All Android Devices,20200000435925,Lidl,1000200000042902,Lidl,DE,Germany,1000200000045368,Schwarz Gruppe,400053,Shopping,1000600000445344,Lidl,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,"1080021, 1080025, 1080009, 1080022","Browse Content, Settings, Notification Settings, Search Content",,,,,"6003022, 6003079, 6003023, 6003071, 6003010, 6003012, 6003014, 6003017, 6003008","Personal Recommendation, Language Options, Popular Recommendation, Alerts Setting, Like/Dislike, Location Finder, Messaging/Inbox, Any Recommendation, Favorite",,,,,,,"6014010, 6014004, 6014009, 6014027","Curated Shopping Content, Daily/Hourly Deals, Periodic Ad, Primary Content Type - Multi Category","6007002, 6007007","External Share, Share","6017063, 6017064","Multi-Platform Support, Web Version","6008006, 6008001, 6008003","Phone Support, Any Customer Service, Email/Help Desk","6010005, 6010001, 6010003","Sponsored Content, Any Advertising, Splash Ad",,,,,"5003001, 5003001, 5014001, 5018001, 5014001, 400013, 5008001, 400013, 5014001, 5003001, 5014001, 5003001, 5007001, 5018001, 5010001, 5008001, 5010001, 400013, 5007001, 400013, 5003001, 5003001, 5003001, 5010001, 5003001, 5008001, 5003001","Feature - General, Feature - General, Feature - Shopping, Feature - Social Media, Feature - Shopping, FTUE, Feature - Support, FTUE, Feature - Shopping, Feature - General, Feature - Shopping, Feature - General, Feature - Social, Feature - Social Media, Monetization - Advertising, Feature - Support, Monetization - Advertising, FTUE, Feature - Social, FTUE, Feature - General, Feature - General, Feature - General, Monetization - Advertising, Feature - General, Feature - Support, Feature - General",4107,-56,31144,4107,,,,,,,2429,264,1678,-320,59.14%,7.13%,40.86%,-7.13%,0.00%,0.00%,3283,712,0.02%,0.00%,25432,195,12.91%,2.72%,3.32,-0.04,00:00:58,-00:00:13,00:03:13,-00:00:49,31775,576,1.56,0.01,5.09%,-0.03%,,
280,20600015257929,Highrich Online Shoppe,,com.app.highrich,google-play,Google Play Store,android-all,All Android Devices,20200004097880,Highrich Online Shoppe Pvt. Ltd.,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3672,-1475,16100,3672,,,,,,,2174,-989,1498,-486,59.20%,-2.25%,40.80%,2.25%,,,,,,,,,,,,,,,,,,,,,,,,
281,20600000487334,AppNana - Gift Cards,,com.appnana.android.giftcardrewards,google-play,Google Play Store,android-all,All Android Devices,20200000163797,AppNana Rewards,1000200000059236,Mapiz,US,United States,1000200000059236,Mapiz,400053,Shopping,,,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395,-3151,2254559,3395,,,,,,,1951,-2454,1444,-697,57.47%,-9.82%,42.53%,9.82%,0.01%,0.00%,5460,-2447,0.03%,0.00%,31392,1950,17.39%,-9.47%,25.78,3.64,00:00:18,-00:00:13,00:07:47,-00:03:57,127634,-151263,2.03,-0.06,6.63%,-0.26%,,
282,20600013320595,Xb Deals: Track Game Prices,,com.xbox_deals.sales,google-play,Google Play Store,android-all,All Android Devices,20200003534286,SP Soft s. r. o.,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3394,-500,24656,3394,166,-2,803,166,0.03,0.00,0,0,3394,-500,0.00%,0.00%,100.00%,0.00%,0.02%,0.00%,23192,833,0.03%,0.00%,31730,-106,73.09%,2.86%,18.39,2.93,00:01:42,-00:00:30,00:31:30,-00:02:52,2192303,-113708,3.02,0.00,9.84%,-0.13%,,
283,20600004784401,Superbalist Shopping App,,com.superbalist.android,google-play,Google Play Store,android-all,All Android Devices,20200001619627,Superbalist a division of Takealot Online (Pty)Ltd,1000200000090907,Takealot Online,ZA,South Africa,1000200000090907,Takealot Online,400053,Shopping,1000600000528770,Superbalist,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3193,3193,3193,3193,,,,,,,2124,2124,1069,1069,66.52%,66.52%,33.48%,33.48%,,,,,,,,,,,,,,,,,,,,,,,,
284,20600010771972,Leilão 24H,,net.megamil.leilao24h,google-play,Google Play Store,android-all,All Android Devices,20200002886144,LEILAO24H,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130004,Resell,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3192,-1488,78145,3192,,,,,,,1909,-522,1283,-966,59.81%,7.87%,40.19%,-7.87%,,,,,,,,,,,,,,,,,,,,,,,,
285,20600012196135,Wanna Kicks : AR sneakers try ,,by.wanna.apps.wsneakers,google-play,Google Play Store,android-all,All Android Devices,20200003827460,WANNA,1000200000485349,Wannaby,BY,Belarus,1000200000095960,Farfetch,400053,Shopping,1000600000834047,Wanna Kicks,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3157,-2295,261826,3157,,,,,,,1746,-2280,1411,-15,55.31%,-18.53%,44.69%,18.53%,0.01%,-0.01%,15383,-3688,0.07%,0.00%,77343,424,19.89%,-4.90%,4.24,1.09,00:01:47,-00:00:18,00:07:36,00:00:58,351022,-28526,1.38,-0.02,4.51%,-0.09%,,
286,20600005297064,"G2A - Games, Gift Cards & More",,com.g2a.marketplace,google-play,Google Play Store,android-all,All Android Devices,20200001748461,G2A.COM,1000200000090547,G2A,NL,Netherlands,1000200000090547,G2A,400053,Shopping,1000600000620618,G2A,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3087,1783,429051,3087,,,,,,,1805,936,1282,847,58.47%,-8.17%,41.53%,8.17%,0.01%,0.01%,6437,1243,0.01%,0.00%,8504,-42,75.70%,14.92%,7.01,1.37,00:00:23,-00:00:11,00:02:47,-00:00:29,53991,2672,1.34,-0.01,4.38%,-0.07%,,
287,20600000064526,AwardWallet: Track Rewards,,com.itlogy.awardwallet,google-play,Google Play Store,android-all,All Android Devices,20200002644137,AwardWallet LLC,1000200000276419,AwardWallet,US,United States,1000200000276419,AwardWallet,400057,Travel & Local,1000600000814899,AwardWallet,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3024,1324,10366,3024,529,-72,9461,529,0.91,-0.30,0,0,3024,1324,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
288,20600010393283,Fashion Nova,,co.tapcart.app.npQt0DXZpj,google-play,Google Play Store,android-all,All Android Devices,20200002801922,FashionNova.com,1000200000293506,Fashion Nova,US,United States,1000200000293506,Fashion Nova,400053,Shopping,1000600000650154,Fashion Nova,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3021,-240,39771,3021,,,,,,,1718,-228,1303,-12,56.87%,-2.80%,43.13%,2.80%,0.00%,0.00%,2985,-123,0.01%,0.00%,13137,-390,22.72%,-0.25%,9.48,-11.11,00:02:24,00:01:37,00:22:54,00:06:46,205203,54674,4.50,-0.03,14.69%,-0.25%,,
289,20600000590943,Amazon for Tablets,,com.amazon.windowshop,google-play,Google Play Store,android-all,All Android Devices,20200000195533,Amazon Mobile LLC,1000200000000009,Amazon,US,United States,1000200000000009,Amazon,400053,Shopping,1000600000001163,Amazon,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,"1080025, 1080021, 1080020, 1080026, 1080022","Settings, Browse Content, Login, Check Out, Search Content",,,"6006025, 6006037, 6006035, 6006014, 6006033","Periodic Menu, EBT Payment, Delivery Type - Pharmacy/Household, Images - Curated, Delivery Type - Grocery","6003041, 6003050, 6003058, 6003022, 6003024, 6003028, 6003031, 6003056, 6003014, 6003079, 6003032, 6003049, 6003033, 6003019, 6003023, 6003026, 6003008, 6003017","In-App Coupons, Recurring Order, Export Data, Personal Recommendation, Relative Recommendation, Purchase Gift Card, Image Search, Review, Messaging/Inbox, Language Options, Voice Search, Nutritional Facts, Manage In Store Credit Card, Voice Interactions, Popular Recommendation, Onboarding Questions, Favorite, Any Recommendation","6016031, 6016055, 6016054","Clinical Reference, Transfer Prescription, Auto Refill","6005006, 6005010, 6005009, 6005008","Internal Login, Two Factor Authentication, Touch ID/Face ID Login, Simultaneous Devices/Profiles",,,"6014004, 6014012, 6014017, 6014020, 6014002, 6014003, 6014011, 6014010, 6014032, 6014001, 6014005, 6014027, 6014019","Daily/Hourly Deals, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.), Parcel Locker Pick up, Buy Now Pay Later, Custom Lists, Buy Again, One Click Order, Curated Shopping Content, Save for Later, Scan Barcode, P2P Marketplace, Primary Content Type - Multi Category, Frequently Bought Together","6007002, 6007007","External Share, Share","6017063, 6017050, 6017064","Multi-Platform Support, Basic Info, Web Version","6008005, 6008001, 6008006, 6008004, 6008002, 6008003","FAQs/Knowledge Base, Any Customer Service, Phone Support, Forum, AI Chat bot, Email/Help Desk","6010001, 6010005","Any Advertising, Sponsored Content","6011007, 6011003, 6011002, 6011001","Free Trials, Education Discount, Auto Renew, Any Subscription Discount",,,"5016001, 5011001, 5018001, 5008001, 5003001, 400013, 400013, 5005001, 5014001, 5010001, 5003001, 5014001, 5011001, 5003001, 5003001, 5008001, 5003001, 5003001, 5005001, 5018001, 5008001, 5010001, 5016001, 5008001, 5014001, 5007001, 5014001, 5003001, 5017001, 5014001, 5014001, 400013, 5014001, 5003001, 5003001, 5016001, 5003001, 5014001, 5003001, 400013, 5005001, 5014001, 5003001, 5018001, 5017001, 5017001, 5003001, 5014001, 5003001, 5003001, 5005001, 400013, 5011001, 5003001, 5007001, 5014001, 5011001, 5008001, 5016001, 5016001, 5014001, 5008001, 5003001, 5014001, 5003001","Feature - Food & Drink, Monetization - Membership, Feature - Social Media, Feature - Support, Feature - General, FTUE, FTUE, Feature - Login, Feature - Shopping, Monetization - Advertising, Feature - General, Feature - Shopping, Monetization - Membership, Feature - General, Feature - General, Feature - Support, Feature - General, Feature - General, Feature - Login, Feature - Social Media, Feature - Support, Monetization - Advertising, Feature - Food & Drink, Feature - Support, Feature - Shopping, Feature - Social, Feature - Shopping, Feature - General, Feature - Health & Fitness, Feature - Shopping, Feature - Shopping, FTUE, Feature - Shopping, Feature - General, Feature - General, Feature - Food & Drink, Feature - General, Feature - Shopping, Feature - General, FTUE, Feature - Login, Feature - Shopping, Feature - General, Feature - Social Media, Feature - Health & Fitness, Feature - Health & Fitness, Feature - General, Feature - Shopping, Feature - General, Feature - General, Feature - Login, FTUE, Monetization - Membership, Feature - General, Feature - Social, Feature - Shopping, Monetization - Membership, Feature - Support, Feature - Food & Drink, Feature - Food & Drink, Feature - Shopping, Feature - Support, Feature - General, Feature - Shopping, Feature - General",2853,2853,131978,2853,,,,,,,1663,1663,1190,1190,58.29%,58.29%,41.71%,41.71%,,,,,,,,,,,,,,,,,,,,,,,,
290,20600015315205,Pronti AI - Outfit Maker,,com.prod.pronti,google-play,Google Play Store,android-all,All Android Devices,20200004096186,Pronti AI Inc.,1000200000503689,Pronti AI Inc.,KR,South Korea,1000200000503689,Pronti AI Inc.,400043,Lifestyle,1000600000843147,Pronti AI- Outfit Maker,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542,-3036,8301,2542,,,,,,,1733,-1199,809,-1837,68.17%,15.61%,31.83%,-15.61%,,,,,,,,,,,,,,,,,,,,,,,,
291,20600016293069,Car Toy shopping,,com.toycar_rccars_shoppingonline.carstoys,google-play,Google Play Store,android-all,All Android Devices,20200004385819,Christian eichinger,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308,2308,2308,2308,,,,,,,1664,1664,644,644,72.10%,72.10%,27.90%,27.90%,,,,,,,,,,,,,,,,,,,,,,,,
292,20600016820968,Shop77,,com.magazord.site.shop77,google-play,Google Play Store,android-all,All Android Devices,20200004382821,Magazord,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129,2129,2129,2129,,,,,,,0,,2129,2129,0.00%,,100.00%,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
293,20600016399113,RC Cars toys online shopping,,com.geekeryapps.cartoys.remotecontrolcars,google-play,Google Play Store,android-all,All Android Devices,20200004084005,Geekery Apps,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,1940,1940,1940,,,,,,,1438,1438,502,502,74.12%,74.12%,25.88%,25.88%,,,,,,,,,,,,,,,,,,,,,,,,
