data-ai Intelligence
Report,Single table report
Report Generation Time,01/06/2023 07:50:29 PST
Ad Platform,All Supported
Country/Region,Brazil
Device,Android Phone
Date,"2021-09-01, 2021-09-30"
Granularity,Monthly

Advertiser App,Advertiser App Name,Advertiser App Bundle ID,Advertiser App Icon Url,Advertiser App Status,Advertiser App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,# Ad Platforms,# Ad Platforms (Change Value),# Apps Seen In,# Apps Seen In (Change Value),Creatives,Creatives (Change Value)
20600006537655,Beleza na Web: Cosméticos,,https://static-s.aa-cdn.net/img/gp/20600006537655/ffY6EKlJGqTh1wQIOHg78tRAhW5DIJcdEJwaD7znQH8K9ji2mSAf1WJ7-N2kO7XxHw4_w80,1,br.com.belezanaweb.android,google-play,Google Play Store,android-all,All Android Devices,20200002040066,Beleza na Web,1000200000364304,Beleza,BR,Brazil,1000200000364304,Beleza,400053,Shopping,1000600000732146,Beleza na Web,app,App,5,0,15,-24,1210,-1267
20600007992347,adidas,,https://static-s.aa-cdn.net/img/gp/20600007992347/iPzanFznFsaq0QPJ320jnt5MkFcs6katVZXW5JWTM7Mrdt9oOETeLVJBEf6Lpy52MIys=s300_w80,1,com.adidas.app,google-play,Google Play Store,android-all,All Android Devices,20200000195232,adidas,1000200000042127,Adidas,DE,Germany,1000200000042127,Adidas,400055,Sports,1000600000619487,adidas,app,App,5,0,3,-1,27,-12
20600008856261,Fast Shop,,https://static-s.aa-cdn.net/img/gp/20600008856261/WUIEPxtEVa-iOEmbwEutd0RvGiuDzl92xJz7hLJRWW8kpS_hXfylVGJJPJdUmYateSlS_w80,1,br.com.fastshop.ecommerce.beta,google-play,Google Play Store,android-all,All Android Devices,20200002505968,Fast Shop S. A.,1000200000296649,Fast Shop,BR,Brazil,1000200000296649,Fast Shop,400053,Shopping,1000600000651128,Fast Shop,app,App,5,0,6,0,852,-22
20600012686652,Riachuelo – Compre pelo app,,https://static-s.aa-cdn.net/img/gp/20600012686652/IhKBD2YcTEtEAM-vgLJIlrBw3fpX0w10SG0hCJ9fm3shg5Ibjn8VlakRJa4DvVYCD34_w80,1,br.com.riachuelo.app,google-play,Google Play Store,android-all,All Android Devices,20200002334153,Lojas Riachuelo,1000200000210877,Lojas Riachuelo,BR,Brazil,1000200000210877,Lojas Riachuelo,400053,Shopping,1000600000785022,Riachuelo,app,App,5,1,216,101,3635,-334
20600000051069,Ponto: Compra Online e Ofertas,,https://static-s.aa-cdn.net/img/gp/20600000051069/Wk7DCekJc9-Ua_3naotuYc3AwyC0ZaEGbY_BfHTamviJc7cXhSsiGQ6IH7m2TzrkiyKH_w80,1,com.sonyericsson.pontofrio,google-play,Google Play Store,android-all,All Android Devices,20200002483031,Via Varejo S.A.,1000200000401995,Via Varejo,BR,Brazil,1000200000401995,Via Varejo,400053,Shopping,1000600000513081,Pontofrio,app,App,4,0,2,0,7731,1884
20600000897846,Vinted - Buy and sell clothes,,https://static-s.aa-cdn.net/img/gp/20600000897846/Xum9Yx8mBYKrwMXAXgUTyqO4nGV1NCp1VxhdTgWtVNmRSPjZD2cJQYSBXA_mI4NK1hg6_w80,1,fr.vinted,google-play,Google Play Store,android-all,All Android Devices,20200000394460,Vinted,1000200000042836,Vinted,LT,Lithuania,1000200000042836,Vinted,400053,Shopping,1000600000445246,Vinted,app,App,4,1,121,42,48,17
20600003407922,Gelt: Ganar dinero desde casa,,https://static-s.aa-cdn.net/img/gp/20600003407922/3CYyfkZhiTLJAV_UsaN_fT94HeXIyEiYO2XimcuQPn2KynLnjzksSXLFAD4tj2YyCtU_w80,1,com.mdfactory.gelt,google-play,Google Play Store,android-all,All Android Devices,20200001815770,"Dinero Gelt, S.L.",1000200000100328,Dinero Gelt,ES,Spain,1000200000100328,Dinero Gelt,400053,Shopping,1000600000780022,GELT,app,App,4,0,20,10,36,-1
20600003781794,Amazon Shopping,,https://static-s.aa-cdn.net/img/gp/20600003781794/7nPCXIJ5I2KZCPdPH12SFIoYM6GF_tIGy3bIEGPB6kC8NV03MkaOzBaPIb6wesANuls_w80,1,com.amazon.mShop.android.shopping,google-play,Google Play Store,android-all,All Android Devices,20200000195533,Amazon Mobile LLC,1000200000000009,Amazon,US,United States,1000200000000009,Amazon,400053,Shopping,1000600000001163,Amazon,app,App,4,0,203,19,6855,144
20600004210929,Mobly Decorações de M Maneiras,,https://static-s.aa-cdn.net/img/gp/20600004210929/uIcStA5AND_ape1CtSJweDaQ9_oZYPmYjqjtkYVB8fvh6i4JazRNoIUeVJmRAU-cjc0_w80,1,com.mobly,google-play,Google Play Store,android-all,All Android Devices,20200003358232,Mobly Loja Online: Móveis e Artigos de Decoração,,,,,,,400041,House & Home,1000600000732119,Mobly,app,App,4,0,2,0,300,-481
20600004378703,Marisa: Moda e Comprar Roupas,,https://static-s.aa-cdn.net/img/gp/20600004378703/IPWm5r4syNZpajsjNbi-dxAebUxGLGZ4RGyNfJXmzV29P89031U84zeG52JH1Hl2pY4_w80,1,br.com.marisa.android,google-play,Google Play Store,android-all,All Android Devices,20200001522208,Lojas Marisa,1000200000065015,Marisa,BR,Brazil,1000200000065015,Marisa,400053,Shopping,1000600000674728,Marisa Cartão,app,App,4,0,2,0,5744,-575
